Home;Away;1;X;2;U;O;APIF1;APIFX;APIF2;APIFU;APIFO
A. Klagenfurt;Hartberg;20,947;23,385;55,668;47,293;52,707;"";"";"";"";""
Celta Vigo;Cadiz CF;40,284;25,878;33,838;48,984;51,016;"";"";"";"";""
Dynamo Moscow;Rubin Kazan;35,371;31,892;32,737;70,514;29,486;"";"";"";"";""
Sporting CP;Gil Vicente;48,355;20,74;30,905;26,354;73,646;"";"";"";"";""
Torino;Atalanta;24,235;26,333;49,432;56,128;43,872;"";"";"";"";""
Fenerbahce;Sivasspor;57,96;21,218;20,822;38,347;61,653;"";"";"";"";""
Midtjylland;Viborg;60,71;21,723;17,567;45,749;54,251;"";"";"";"";""
Slaven Belupo;D. Zagreb;35,516;27,411;37,073;56,049;43,951;"";"";"";"";""
AEK Athens FC;Aris;58,009;24,351;17,64;55,606;44,394;"";"";"";"";""
PAOK;Lamia;54,481;21,731;23,788;38,476;61,524;"";"";"";"";""
